2012	approach improves	latent factors	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	exploit parallel architectures	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	nips 2011 workshop	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	sparse coding	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	learning hierarchical models	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	transfer learning challenge	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	training set size	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	supervised learning capabilities	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	dramatically increase	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	approach improves	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	exploit parallel architectures	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	nips 2011 workshop	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	sparse coding	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	learning hierarchical models	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	transfer learning challenge	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	training set size	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	supervised learning capabilities	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	dramatically increase	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	latent factors	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	exploit parallel architectures	nips 2011 workshop	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	exploit parallel architectures	sparse coding	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	exploit parallel architectures	learning hierarchical models	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	exploit parallel architectures	transfer learning challenge	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	exploit parallel architectures	training set size	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	exploit parallel architectures	supervised learning capabilities	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	exploit parallel architectures	dramatically increase	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	exploit parallel architectures	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	exploit parallel architectures	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	nips 2011 workshop	sparse coding	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	nips 2011 workshop	learning hierarchical models	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	nips 2011 workshop	transfer learning challenge	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	nips 2011 workshop	training set size	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	nips 2011 workshop	supervised learning capabilities	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	nips 2011 workshop	dramatically increase	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	nips 2011 workshop	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	nips 2011 workshop	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	sparse coding	learning hierarchical models	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	sparse coding	transfer learning challenge	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	sparse coding	training set size	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	sparse coding	supervised learning capabilities	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	sparse coding	dramatically increase	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	sparse coding	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	sparse coding	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	learning hierarchical models	transfer learning challenge	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	learning hierarchical models	training set size	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	learning hierarchical models	supervised learning capabilities	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	learning hierarchical models	dramatically increase	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	learning hierarchical models	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	learning hierarchical models	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	transfer learning challenge	training set size	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	transfer learning challenge	supervised learning capabilities	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	transfer learning challenge	dramatically increase	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	transfer learning challenge	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	transfer learning challenge	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	training set size	supervised learning capabilities	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	training set size	dramatically increase	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	training set size	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	training set size	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	supervised learning capabilities	dramatically increase	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	supervised learning capabilities	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	supervised learning capabilities	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	dramatically increase	prior work	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	dramatically increase	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2012	prior work	factor model	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2}
2016	cognitive radio	interference (communication)	{'633a3b1a4768e22eeea4dacbfb58abcb43b28ca1': 2}
2016	cognitive radio	numerical analysis	{'633a3b1a4768e22eeea4dacbfb58abcb43b28ca1': 2}
2016	interference (communication)	numerical analysis	{'633a3b1a4768e22eeea4dacbfb58abcb43b28ca1': 2}
2010	input multiple	output communication	{'00a7ff420e306f9544acd410161be01f0fdf9b91': 2}
2006	ontology libraries	search engines	{'41b8ed8163f8fefbd5aeaf52324e101642cee5da': 2, '34e41c05bf39798160d17179d602feb7536725d7': 2}
2015	regione lazio	social ties	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	regione lazio	enterprise social network	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	regione lazio	topic discussions	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	regione lazio	specialized companies	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	regione lazio	international network	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	regione lazio	paper describes	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	regione lazio	central italy	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	regione lazio	digital services	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	social ties	enterprise social network	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	social ties	topic discussions	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	social ties	specialized companies	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	social ties	international network	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	social ties	paper describes	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	social ties	central italy	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	social ties	digital services	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	enterprise social network	topic discussions	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	enterprise social network	specialized companies	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	enterprise social network	international network	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	enterprise social network	paper describes	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	enterprise social network	central italy	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	enterprise social network	digital services	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	topic discussions	specialized companies	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	topic discussions	international network	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	topic discussions	paper describes	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	topic discussions	central italy	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	topic discussions	digital services	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	specialized companies	international network	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	specialized companies	paper describes	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	specialized companies	central italy	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	specialized companies	digital services	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	international network	paper describes	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	international network	central italy	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	international network	digital services	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	paper describes	central italy	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	paper describes	digital services	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2015	central italy	digital services	{'3bf7a010ce3e000a1314d728bc188ba641226a60': 2, '2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2, 'bf5e9337896adb10e3d037f0dfd9c12b304bb290': 2}
2014	linear matrix inequalities	genetic regulatory networks	{'f2e71ea4db322850257baf17d3166f81616b96ab': 2, '1dfd55d472f1f9b3f7518b1727fee1ee749ce840': 2}
2014	nonlinear system	lyapunov fractal	{'0106083db63eef5b77fdd3088a8f970fad7900f4': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, '9bb783a1070252da867412d1e38fff8a06b8e4c8': 2}
2008	simulation	cognitive radio	{'a830cbc5707559f0f1585aa1508274bc8bde2097': 2}
2012	simulation	cognitive radio	{'e8c45f5dd2b9cd3a1f4fab939daa4c15f33dec3b': 2, 'e2acf01f0b133df820cf47709a2341f4ecac9695': 2, '9407026e1de7cc96137a81ec5e37d16c2f921ca6': 2}
2012	cognitive radio	algorithm	{'e8c45f5dd2b9cd3a1f4fab939daa4c15f33dec3b': 2, 'e2acf01f0b133df820cf47709a2341f4ecac9695': 2, '9407026e1de7cc96137a81ec5e37d16c2f921ca6': 2, '445f8d997d716213be2e4a1bfdeef5ae6ceb8758': 2}
2018	deep learning	experiment	{'62c71e9fbd4a2c1301f56595fabdea5e3d4150e8': 2}
2018	end-to-end principle	experiment	{'92dcd1df0cbcc7dbf9dbf55f5325d21193d3b0d8': 2}
2016	artificial neural network	recurrent neural network	{'0caa56dcd8fb9e51577958c9a81b3c1e0e8d6f89': 2, 'e23aed52038461d90f976bb9dd286c0efeaba095': 2, 'f53157c04a7e9fef73f1b7f0f591715a196d182c': 2, '500e94d6c49c76dfb20a5a20b8f32044e6d5e44c': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2}
2011	cognitive radio	autonomous robot	{'e8c45f5dd2b9cd3a1f4fab939daa4c15f33dec3b': 2, '9407026e1de7cc96137a81ec5e37d16c2f921ca6': 2}
2011	algorithm	autonomous robot	{'e8c45f5dd2b9cd3a1f4fab939daa4c15f33dec3b': 2, '9407026e1de7cc96137a81ec5e37d16c2f921ca6': 2}
2005	bam neural networks	exponential stability	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
2017	polynomial	nonlinear system	{'4f558859ab5805e3c86f2473627526066bca41fb': 2, '3de66a2317f3d577e02541d43ba989464cdf404c': 2}
2017	algorithm	sparse matrix	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 3}
2017	algorithm	mathematical optimization	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 2, 'bb1ec35ce49a7b93af72b6c5f009b58595cfc80a': 2, '9a7db9b03ab328f2d4e42a2c6840b9422dbafb4a': 2, '501915fdc53005def0a0256a4a59795f0843b9ca': 2, 'b2490f648d8b319ba88c632026f1620ca2ea0f2b': 2, '0ec3d438b74416e24d0c1acef1aa8476772aa6ac': 2}
2017	sparse matrix	mathematical optimization	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 2}
2005	human eyes sensing	similar way	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	human eyes sensing	adaptive enhancement	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	human eyes sensing	tone frequency components	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	human eyes sensing	visual quality	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	similar way	adaptive enhancement	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	similar way	tone frequency components	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	similar way	visual quality	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	adaptive enhancement	tone frequency components	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	adaptive enhancement	visual quality	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	tone frequency components	visual quality	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2005	visual quality	digital images captured	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
2016	algorithm	numerical analysis	{'633a3b1a4768e22eeea4dacbfb58abcb43b28ca1': 2, '444dd08c627e09c7db25c922ad1b10771d99c693': 2}
